step 24,800/50,000  loss=0.0021  L0=128.0  FVE=0.969  dead=6,712  lr=5.39e-05     4,274 tok/s
step 25,000/50,000  loss=0.0021  L0=128.0  FVE=0.954  dead=6,667  lr=5.33e-05     4,274 tok/s
step 25,200/50,000  loss=0.0021  L0=128.0  FVE=0.980  dead=6,635  lr=5.27e-05     4,275 tok/s
step 25,400/50,000  loss=0.0021  L0=128.0  FVE=0.951  dead=6,622  lr=5.21e-05     4,275 tok/s
step 25,600/50,000  loss=0.0021  L0=128.0  FVE=0.970  dead=6,593  lr=5.14e-05     4,275 tok/s
step 25,800/50,000  loss=0.0021  L0=128.0  FVE=0.952  dead=6,560  lr=5.08e-05     4,275 tok/s
step 26,000/50,000  loss=0.0021  L0=128.0  FVE=0.974  dead=6,529  lr=5.02e-05     4,275 tok/s
step 26,200/50,000  loss=0.0021  L0=128.0  FVE=0.962  dead=6,518  lr=4.96e-05     4,275 tok/s
step 26,400/50,000  loss=0.0021  L0=128.0  FVE=0.964  dead=6,500  lr=4.90e-05     4,275 tok/s
step 26,600/50,000  loss=0.0021  L0=128.0  FVE=0.964  dead=6,481  lr=4.84e-05     4,275 tok/s
step 26,800/50,000  loss=0.0021  L0=128.0  FVE=0.962  dead=6,447  lr=4.78e-05     4,275 tok/s
step 27,000/50,000  loss=0.0021  L0=128.0  FVE=0.963  dead=6,421  lr=4.72e-05     4,275 tok/s
step 27,200/50,000  loss=0.0021  L0=128.0  FVE=0.955  dead=6,404  lr=4.66e-05     4,275 tok/s
step 27,400/50,000  loss=0.0021  L0=128.0  FVE=0.975  dead=6,413  lr=4.60e-05     4,275 tok/s
step 27,600/50,000  loss=0.0021  L0=128.0  FVE=0.970  dead=6,392  lr=4.54e-05     4,275 tok/s
step 27,800/50,000  loss=0.0021  L0=128.0  FVE=0.975  dead=6,354  lr=4.48e-05     4,275 tok/s
step 28,000/50,000  loss=0.0021  L0=128.0  FVE=0.962  dead=6,339  lr=4.43e-05     4,275 tok/s
step 28,200/50,000  loss=0.0021  L0=128.0  FVE=0.978  dead=6,297  lr=4.37e-05     4,275 tok/s
step 28,400/50,000  loss=0.0021  L0=128.0  FVE=0.955  dead=6,260  lr=4.31e-05     4,276 tok/s
step 28,600/50,000  loss=0.0021  L0=128.0  FVE=0.974  dead=6,247  lr=4.25e-05     4,276 tok/s
step 28,800/50,000  loss=0.0021  L0=128.0  FVE=0.975  dead=6,235  lr=4.19e-05     4,276 tok/s
step 29,000/50,000  loss=0.0020  L0=128.0  FVE=0.938  dead=6,219  lr=4.13e-05     4,276 tok/s
step 29,200/50,000  loss=0.0020  L0=128.0  FVE=0.955  dead=6,193  lr=4.07e-05     4,276 tok/s
step 29,400/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=6,178  lr=4.01e-05     4,276 tok/s
step 29,600/50,000  loss=0.0020  L0=128.0  FVE=0.975  dead=6,160  lr=3.96e-05     4,276 tok/s
step 29,800/50,000  loss=0.0020  L0=128.0  FVE=0.955  dead=6,142  lr=3.90e-05     4,276 tok/s
step 30,000/50,000  loss=0.0020  L0=128.0  FVE=0.970  dead=6,128  lr=3.84e-05     4,276 tok/s
  [saved checkpoint_step_030000.npz]
step 30,200/50,000  loss=0.0020  L0=128.0  FVE=0.964  dead=6,119  lr=3.78e-05     4,276 tok/s
step 30,400/50,000  loss=0.0020  L0=128.0  FVE=0.978  dead=6,095  lr=3.73e-05     4,276 tok/s
step 30,600/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=6,099  lr=3.67e-05     4,276 tok/s
step 30,800/50,000  loss=0.0020  L0=128.0  FVE=0.901  dead=6,101  lr=3.61e-05     4,276 tok/s
step 31,000/50,000  loss=0.0020  L0=128.0  FVE=0.902  dead=6,108  lr=3.56e-05     4,276 tok/s
step 31,200/50,000  loss=0.0020  L0=128.0  FVE=0.970  dead=6,081  lr=3.50e-05     4,276 tok/s
step 31,400/50,000  loss=0.0020  L0=128.0  FVE=0.938  dead=6,054  lr=3.44e-05     4,276 tok/s
step 31,600/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=6,035  lr=3.39e-05     4,276 tok/s
step 31,800/50,000  loss=0.0020  L0=128.0  FVE=0.975  dead=6,030  lr=3.33e-05     4,276 tok/s
step 32,000/50,000  loss=0.0020  L0=128.0  FVE=0.936  dead=6,024  lr=3.28e-05     4,277 tok/s
step 32,200/50,000  loss=0.0020  L0=128.0  FVE=0.955  dead=5,987  lr=3.22e-05     4,277 tok/s
step 32,400/50,000  loss=0.0020  L0=128.0  FVE=0.978  dead=5,968  lr=3.17e-05     4,276 tok/s
step 32,600/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=5,951  lr=3.11e-05     4,277 tok/s
step 32,800/50,000  loss=0.0020  L0=128.0  FVE=0.978  dead=5,956  lr=3.06e-05     4,276 tok/s
step 33,000/50,000  loss=0.0020  L0=128.0  FVE=0.955  dead=5,941  lr=3.01e-05     4,276 tok/s
step 33,200/50,000  loss=0.0020  L0=128.0  FVE=0.904  dead=5,933  lr=2.95e-05     4,276 tok/s
step 33,400/50,000  loss=0.0020  L0=128.0  FVE=0.983  dead=5,915  lr=2.90e-05     4,276 tok/s
step 33,600/50,000  loss=0.0020  L0=128.0  FVE=0.976  dead=5,888  lr=2.85e-05     4,276 tok/s
step 33,800/50,000  loss=0.0020  L0=128.0  FVE=0.902  dead=5,880  lr=2.80e-05     4,276 tok/s
step 34,000/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,866  lr=2.75e-05     4,277 tok/s
step 34,200/50,000  loss=0.0020  L0=128.0  FVE=0.938  dead=5,850  lr=2.69e-05     4,277 tok/s
step 34,400/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=5,808  lr=2.64e-05     4,277 tok/s
step 34,600/50,000  loss=0.0020  L0=128.0  FVE=0.981  dead=5,780  lr=2.59e-05     4,277 tok/s
step 34,800/50,000  loss=0.0020  L0=128.0  FVE=0.937  dead=5,771  lr=2.54e-05     4,277 tok/s
step 35,000/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,745  lr=2.49e-05     4,277 tok/s
step 35,200/50,000  loss=0.0020  L0=128.0  FVE=0.936  dead=5,721  lr=2.45e-05     4,277 tok/s
step 35,400/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,713  lr=2.40e-05     4,277 tok/s
step 35,600/50,000  loss=0.0020  L0=128.0  FVE=0.981  dead=5,690  lr=2.35e-05     4,277 tok/s
step 35,800/50,000  loss=0.0020  L0=128.0  FVE=0.978  dead=5,678  lr=2.30e-05     4,277 tok/s
step 36,000/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,658  lr=2.26e-05     4,277 tok/s
step 36,200/50,000  loss=0.0020  L0=128.0  FVE=0.981  dead=5,641  lr=2.21e-05     4,277 tok/s
step 36,400/50,000  loss=0.0020  L0=128.0  FVE=0.952  dead=5,656  lr=2.16e-05     4,277 tok/s
step 36,600/50,000  loss=0.0020  L0=128.0  FVE=0.759  dead=5,646  lr=2.12e-05     4,277 tok/s
step 36,800/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,632  lr=2.07e-05     4,277 tok/s
step 37,000/50,000  loss=0.0020  L0=128.0  FVE=0.970  dead=5,626  lr=2.03e-05     4,277 tok/s
step 37,200/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,635  lr=1.98e-05     4,277 tok/s
step 37,400/50,000  loss=0.0020  L0=128.0  FVE=0.975  dead=5,629  lr=1.94e-05     4,277 tok/s
step 37,600/50,000  loss=0.0020  L0=128.0  FVE=0.979  dead=5,632  lr=1.90e-05     4,277 tok/s
step 37,800/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=5,627  lr=1.85e-05     4,277 tok/s
step 38,000/50,000  loss=0.0020  L0=128.0  FVE=0.972  dead=5,606  lr=1.81e-05     4,277 tok/s
step 38,200/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,598  lr=1.77e-05     4,277 tok/s
step 38,400/50,000  loss=0.0020  L0=128.0  FVE=0.939  dead=5,596  lr=1.73e-05     4,277 tok/s
step 38,600/50,000  loss=0.0020  L0=128.0  FVE=0.904  dead=5,593  lr=1.69e-05     4,277 tok/s
step 38,800/50,000  loss=0.0020  L0=128.0  FVE=0.978  dead=5,605  lr=1.65e-05     4,277 tok/s
step 39,000/50,000  loss=0.0020  L0=128.0  FVE=0.940  dead=5,607  lr=1.61e-05     4,277 tok/s
step 39,200/50,000  loss=0.0020  L0=128.0  FVE=0.976  dead=5,591  lr=1.57e-05     4,277 tok/s
step 39,400/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,581  lr=1.54e-05     4,277 tok/s
step 39,600/50,000  loss=0.0020  L0=128.0  FVE=0.941  dead=5,572  lr=1.50e-05     4,277 tok/s
step 39,800/50,000  loss=0.0020  L0=128.0  FVE=0.976  dead=5,556  lr=1.46e-05     4,277 tok/s
step 40,000/50,000  loss=0.0020  L0=128.0  FVE=0.981  dead=5,536  lr=1.43e-05     4,277 tok/s
  [saved checkpoint_step_040000.npz]
step 40,200/50,000  loss=0.0020  L0=128.0  FVE=0.904  dead=5,521  lr=1.39e-05     4,277 tok/s
step 40,400/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=5,513  lr=1.35e-05     4,277 tok/s
step 40,600/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,506  lr=1.32e-05     4,277 tok/s
step 40,800/50,000  loss=0.0020  L0=128.0  FVE=0.970  dead=5,504  lr=1.29e-05     4,277 tok/s
step 41,000/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,501  lr=1.25e-05     4,277 tok/s
step 41,200/50,000  loss=0.0020  L0=128.0  FVE=0.964  dead=5,499  lr=1.22e-05     4,277 tok/s
step 41,400/50,000  loss=0.0020  L0=128.0  FVE=0.971  dead=5,474  lr=1.19e-05     4,277 tok/s
step 41,600/50,000  loss=0.0020  L0=128.0  FVE=0.941  dead=5,490  lr=1.16e-05     4,277 tok/s
step 41,800/50,000  loss=0.0020  L0=128.0  FVE=0.976  dead=5,484  lr=1.13e-05     4,277 tok/s
step 42,000/50,000  loss=0.0020  L0=128.0  FVE=0.966  dead=5,465  lr=1.10e-05     4,277 tok/s
step 42,200/50,000  loss=0.0020  L0=128.0  FVE=0.956  dead=5,457  lr=1.07e-05     4,277 tok/s
step 42,400/50,000  loss=0.0020  L0=128.0  FVE=0.966  dead=5,456  lr=1.04e-05     4,277 tok/s
step 42,600/50,000  loss=0.0020  L0=128.0  FVE=0.965  dead=5,439  lr=1.01e-05     4,277 tok/s
